ResponseID,DUP,STARTDATE,ENDDATE,FINISHED,DUBIOUS,18YESORNO,COUNTRY,ZIP,DOB,YRSSURFING,WAVEPREF,WAVEPREFOTHER,BOARDPREF,BOARDPREFOTHER,ABILITY,SURFSPOT,SPOTTOWN,SPOTCO,SPOTSTATE,SPOTCOUNTRY,SPOTYRS,SPOTFAM,SURFSPERYEAR,BOTTOMCOND,BOTTOMCONDOTHER,BCHMGMTJET,BCHMGMTNAT,BCHMGMTWALL,BCHMGMTRIP,BCHMGMTSAND,BCHMGMTOTHERYN,BCHMGMTOTHER,BCHMGMTCOUNT,BCHMGMTIDK,SPOTWAVE,SPOTWAVEOTHER,BESTTIDE,5TIDE2,5TIDEMED,5TIDE6,5TIDEV6,V6BETTER,V6SHORTER,V6BACKW,V6LESSDANGER,V6CLIFFS,V6BIGSWELL,V6NEWPEAK,V6WAVEGONE,V6TAKEOFF,V6PACKDENSE,V6OTHERHAZ,PLACEIDN1,PLACEDEP1,PLACEIDN2,PLACEDEP2,PLACEIDN3,PLACEDEP3,PLACEIDN4,PLACEDEP4,PLACEIDN5,PLACEDEP5,PLACEIDN6,PLACEDEP6,PLACEBATTCOMP,WHYIMPORT,ACCESSBLOCKED,BLOCKEDHOW,NEVERSURFAGAIN,NEVERSURFAGAINEMO,IPLAT,IPLON,CCON-S,CCO,CCIT,LCPJur,LCPJurN-S,CSPOTLat,CSPOTLon,SURFSPOT,SL-SURFSPOT,SL-SPOTN-S,MORE_RES,LESS_RES,Secret
R_001SpEElcHUnf4p,0,4/25/14 10:31,4/25/14 10:38,1,,1,United States,92603,1984,18,fast beach break,,shortboard,,4,Huntington Beach,Huntington Beach,Orange,CA,USA,12,8,Weekly,Sand,,,natural beaches or bluffs,seawall,,,,,2,0,slow beach break,,2,2,4,3,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,4,2,4,1,4,2,4,1,3,1,4,4,12,Stomping grounds. convenient,Yes,Opening the wetlands - stunk like hell for months,"not really, there are other spots.",I would be inconvenienced - like a love lost.,40.70869446,-74.01039886,14,Orange,Huntington Beach,Huntington Beach (City of),57,,,Huntington Beach,,,,1,
R_00RtItUn7khelTL,0,4/27/14 3:41,4/27/14 3:53,1,,1,Denmark,,1994,3,fast reef break,,shortboard,,3,Bird Rock,La Jolla,San Diego,CA,USA,2,10,Weekly,hard rock reef,,,,,,,,,0,I'm not sure,slow reef break,,5,3,5,2,I'm not sure,I'm not sure,Yes,No,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,No,5,3,5,1,5,5,5,2,1,5,5,3,12,its important to me because i like the people that surf there and it used to be right by my house,No,,no it wouldent ,wouldent be so impacted about it theres millions of surfspots out there that might be just as good..,55.8657074,9.873504639,15,San Diego,La Jolla,San Diego (City of),72,32.8133,-117.27364,Bird Rock,Birdrock,185,,,
R_018zc3SlTs5EhWl,0,4/9/14 19:10,4/9/14 19:33,1,,1,United States,94402,1990,6,fast beach break,,shortboard,,3,Ocean Beach,San Francisco,San Francisco,CA,USA,7,7,Weekly,Sand,,,,seawall,riprap,,,,2,0,fast beach break,,2,3,3,2,2,No,Yes,No,No,No,No,No,No,No,No,No,4,3,4,3,4,3,4,3,4,3,4,4,12,"OB IS IMPORTANT TO ME BECAUSE IT IS THE SPOT WHERE I CAN PUSH MYSELF IN BIGGER WAVES AND CONDITION MYSELF TO BE ABLE TO FEEL CONFIDENT AT ALMOST ANY OTHER SPOT. ITS ON THE EDGE OF THE GREATEST CITY IN THE WORLD. IT ISN'T ALWAYS GOOD BUT THAT'S WHAT IS NICE ABOUT IT, YOU HAVE TO BE ON IT OR LUCKY TO GET GOOD QUALITY WAVES. OB MAKES YOU WORK FOR RIDES BUT MOST OF THE TIME YOU CAN FIND YOUR OWN PEAK AND SURF BY YOURSELF OR MAYBE A HANDFUL OF PEOPLE. I LOVE OB!!!!",No,,YEAH PROBABLY BECAUSE ITS PRETTY MUCH THE ONLY SPOT TO SURF IN SAN FRANCISCO. I DON'T KNOW IF I WOULD LIVE IN SAN FRANCISCO IF I COULDN'T SURF OB,SUPER BUMMED OUT AND VERY SAD,37.52600098,-122.3558044,6,San Francisco,San Francisco,San Francisco,13,37.7739,-122.5137,Ocean Beach,Ocean Beach SF,23,,,
R_01JkJNFDuf9gK1f,0,4/10/14 20:57,4/10/14 21:08,1,,1,United States,92130,1995,7,fast reef break,,bodyboard,,3,Horseshoes,La Jolla,San Diego,CA,USA,3,7,Monthly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,2,5,4,2,1,No,I'm not sure,Yes,Yes,No,Yes,No,No,No,No,No,4,4,4,4,4,4,4,3,4,3,4,3,12,It is one of the best point-specific reef breaks in San Diego/ La Jolla.,No,,Yes.  Horseshoes is a source of a large amount of my surf photography business.,disappointed ,32.9671936,-117.2585983,15,San Diego,La Jolla,San Diego (City of),72,32.83884,-117.28321,Horseshoes,Horseshoe,183,,,
R_01XXS68wU1a1wdn,0,4/27/14 16:29,4/27/14 16:35,1,,1,United States,94924,1970,15,fast beach break,,shortboard,,3,RCA,Bolinas,Marin,CA,USA,10,9,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,2,4,4,3,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,I'm not sure,3,4,4,3,3,3,4,3,3,2,4,3,12,off the beaten path.,Yes,oil spill,"yes - special ""local"" spot that is not easy to get to.",bummed,37.93580627,-122.3478012,5,Marin,Bolinas,Marin County,12,,,RCA,,,1,,
R_026yiDbTyyXoocZ,0,4/10/14 14:58,4/10/14 15:21,1,,1,United States,95062,1994,4,fast beach break,,"hybrid, funboard, or egg",,1,26th Avenue,Santa Cruz,Santa Cruz,CA,USA,12,8,Monthly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,4,3,5,3,3,No,I'm not sure,Yes,No,Yes,I'm not sure,No,I'm not sure,I'm not sure,No,Yes,4,4,5,5,4,4,4,4,3,4,5,2,12,It's where I grew up. ,No,,"Yes and no, I would be very disappointed to say the least. ","Disappointment, sadness, and confusion. ",21.32670593,-157.8166962,8,Santa Cruz,Santa Cruz,Santa Cruz County,18,36.95751,,26th Avenue,26th Ave,47,,,
R_02MJuY4YgXBkLd3,0,3/11/14 9:45,3/11/14 9:55,1,,1,United States,93950,1984,8,slow reef break,,shortboard,,3,Dunes at Spanish Bay,Pacific Grove,Monterey,CA,USA,2,7,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,slow reef break,,5,1,5,3,1,No,No,No,Yes,No,I'm not sure,Yes,Yes,No,No,No,4,3,4,2,4,3,4,3,1,3,4,4,12,"Close to my house, powerful wave when clean",No,,"Yes, there is no other spot that delivers in the type of conditions (swell size/angle) that will work in my area","I would be pretty disappointed, seeing as I would have fewer days to surf",37.4178009,-122.1719971,9,Monterey,Pacific Grove,Pacific Grove (City of),27,36.610428,,Dunes at Spanish Bay,Asilomar,56,,,
R_03szIW7irY8IJFP,0,3/23/14 17:24,3/23/14 17:28,0,,1,United States,90245,1966,30,fast beach break,,"hybrid, funboard, or egg",,4,El Porto,Manhattan Beach,Los Angeles,CA,USA,30,10,Daily,Sand,,jetty or groin,,,,,,,1,0,fast beach break,,5,2,4,2,2,No,Yes,Yes,No,No,-9999,-9999,Yes,-9999,-9999,No,,,,,,,,,,,,,0,,,,,,,,13,Los Angeles,Manhattan Beach,Manhattan Beach (City of),47,33.8986,-118.4207,El Porto,El Porto,116,,,
R_06SOPW8GLoTptyt,0,4/26/14 22:00,4/26/14 22:11,1,,1,United States,94109,1961,10,fast point break,,"hybrid, funboard, or egg",,3,Ocean Beach,San Francisco,San Francisco,CA,USA,10,7,Monthly,Sand,,,,,,,other,man made dunes,1,0,other,heavy,4,4,5,3,2,No,No,Yes,No,No,Yes,I'm not sure,Yes,No,No,No,3,3,5,4,4,3,3,3,4,3,4,2,12,Home break. Grew up in the neighborhood and met up at that beach. Lots of friends there. Challenging. Capable of humbling you and of making you proud at the same time.,No,,"Yes, would have to go somewhere else that was not ‘home’ . This is where friends surf together who grew up in the area so we would be fragmented and not have a place to call ‘home'","sad, painful, depressed, defeated, frustrated, angry",37.79570007,-122.4208984,6,San Francisco,San Francisco,San Francisco,13,37.7739,-122.5137,Ocean Beach,Ocean Beach SF,23,,,
R_06wEKdPO9p7bvXT,0,4/8/14 13:39,4/8/14 13:59,1,,1,United States,92037,1960,43,fast beach break,,SUP,,4,Scripps,La Jolla,San Diego,CA,USA,43,10,Daily,Sand,,,,seawall,,,,,1,0,fast beach break,,4,2,5,3,2,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4,3,4,2,3,2,3,2,2,2,4,3,12,"It's local, 2 miles, from where I live!! / It is the fastest 50yrds(Ride) in la jolla!  / Although, I really do surf where the swell is hitting best!! So I do go to the La jolla reefs as well, Slides, boomers, Northbird, Southbird, sewerline, haynmons, hermose, P.B. point etc...!!",Yes,"I worry about runoff after a major rain storm, the bacteria count etc..","Yes, It would be a major impact on my life! I surf almost, everyday!!  / Surfing gives me great  peace and joy, plus, great exercise!!",Upset! ,32.86669922,-117.2481003,15,San Diego,La Jolla,San Diego (City of),72,32.8664,-117.2557,Scripps,Scripps,181,,,
